ID,Model,HGNC,Transcription_factor,Model_length,Quality,TF_family,EntrezGene,UniProt_ID,TFclass
AP2D_HUMAN.H11MO.0.D,AP2D_HUMAN.H11MO.0.D,TFAP2D,TFAP2D,14,D,AP-2{1.3.1},83741,AP2D_HUMAN,1.3.1
ARI3A_HUMAN.H11MO.0.D,ARI3A_HUMAN.H11MO.0.D,ARID3A,ARID3A,22,D,ARID-related factors{3.7.1},1820,ARI3A_HUMAN,3.7.1
ARI5B_HUMAN.H11MO.0.C,ARI5B_HUMAN.H11MO.0.C,ARID5B,ARID5B,13,C,ARID-related factors{3.7.1},84159,ARI5B_HUMAN,3.7.1
ARNT2_HUMAN.H11MO.0.D,ARNT2_HUMAN.H11MO.0.D,ARNT2,ARNT2,12,D,PAS domain factors{1.2.5},9915,ARNT2_HUMAN,1.2.5
ARNT_HUMAN.H11MO.0.B,ARNT_HUMAN.H11MO.0.B,ARNT,ARNT,9,B,PAS domain factors{1.2.5},405,ARNT_HUMAN,1.2.5
ARX_HUMAN.H11MO.0.D,ARX_HUMAN.H11MO.0.D,ARX,ARX,13,D,Paired-related HD factors{3.1.3},170302,ARX_HUMAN,3.1.3
ASCL1_HUMAN.H11MO.0.A,ASCL1_HUMAN.H11MO.0.A,ASCL1,ASCL1,14,A,MyoD / ASC-related factors{1.2.2},429,ASCL1_HUMAN,1.2.2
ASCL2_HUMAN.H11MO.0.D,ASCL2_HUMAN.H11MO.0.D,ASCL2,ASCL2,9,D,MyoD / ASC-related factors{1.2.2},430,ASCL2_HUMAN,1.2.2
ATF1_HUMAN.H11MO.0.B,ATF1_HUMAN.H11MO.0.B,ATF1,ATF1,11,B,CREB-related factors{1.1.7},466,ATF1_HUMAN,1.1.7
ATF2_HUMAN.H11MO.0.B,ATF2_HUMAN.H11MO.0.B,ATF2,ATF2,11,B,Jun-related factors{1.1.1},1386,ATF2_HUMAN,1.1.1
ATF2_HUMAN.H11MO.1.B,ATF2_HUMAN.H11MO.1.B,ATF2,ATF2,20,B,Jun-related factors{1.1.1},1386,ATF2_HUMAN,1.1.1
ATF2_HUMAN.H11MO.2.C,ATF2_HUMAN.H11MO.2.C,ATF2,ATF2,11,C,Jun-related factors{1.1.1},1386,ATF2_HUMAN,1.1.1
ATF3_HUMAN.H11MO.0.A,ATF3_HUMAN.H11MO.0.A,ATF3,ATF3,11,A,Fos-related factors{1.1.2},467,ATF3_HUMAN,1.1.2
ATF4_HUMAN.H11MO.0.A,ATF4_HUMAN.H11MO.0.A,ATF4,ATF4,12,A,ATF-4-related factors{1.1.6},468,ATF4_HUMAN,1.1.6
ATF6A_HUMAN.H11MO.0.B,ATF6A_HUMAN.H11MO.0.B,ATF6,ATF6,12,B,CREB-related factors{1.1.7},22926,ATF6A_HUMAN,1.1.7
ATF7_HUMAN.H11MO.0.D,ATF7_HUMAN.H11MO.0.D,ATF7,ATF7,11,D,Jun-related factors{1.1.1},11016,ATF7_HUMAN,1.1.1
ATOH1_HUMAN.H11MO.0.B,ATOH1_HUMAN.H11MO.0.B,ATOH1,ATOH1,9,B,Tal-related factors{1.2.3},474,ATOH1_HUMAN,1.2.3
BACH1_HUMAN.H11MO.0.A,BACH1_HUMAN.H11MO.0.A,BACH1,BACH1,13,A,Jun-related factors{1.1.1},571,BACH1_HUMAN,1.1.1
BACH2_HUMAN.H11MO.0.A,BACH2_HUMAN.H11MO.0.A,BACH2,BACH2,11,A,Jun-related factors{1.1.1},60468,BACH2_HUMAN,1.1.1
BARH1_HUMAN.H11MO.0.D,BARH1_HUMAN.H11MO.0.D,BARHL1,BARHL1,13,D,NK-related factors{3.1.2},56751,BARH1_HUMAN,3.1.2
BARH2_HUMAN.H11MO.0.D,BARH2_HUMAN.H11MO.0.D,BARHL2,BARHL2,18,D,NK-related factors{3.1.2},343472,BARH2_HUMAN,3.1.2
BARX1_HUMAN.H11MO.0.D,BARX1_HUMAN.H11MO.0.D,BARX1,BARX1,12,D,NK-related factors{3.1.2},56033,BARX1_HUMAN,3.1.2
BARX2_HUMAN.H11MO.0.D,BARX2_HUMAN.H11MO.0.D,BARX2,BARX2,10,D,NK-related factors{3.1.2},8538,BARX2_HUMAN,3.1.2
BATF3_HUMAN.H11MO.0.B,BATF3_HUMAN.H11MO.0.B,BATF3,BATF3,17,B,B-ATF-related factors{1.1.4},55509,BATF3_HUMAN,1.1.4
BATF_HUMAN.H11MO.0.A,BATF_HUMAN.H11MO.0.A,BATF,BATF,18,A,B-ATF-related factors{1.1.4},10538,BATF_HUMAN,1.1.4
BATF_HUMAN.H11MO.1.A,BATF_HUMAN.H11MO.1.A,BATF,BATF,11,A,B-ATF-related factors{1.1.4},10538,BATF_HUMAN,1.1.4
BC11A_HUMAN.H11MO.0.A,BC11A_HUMAN.H11MO.0.A,BCL11A,BCL11A,17,A,Factors with multiple dispersed zinc fingers{2.3.4},53335,BC11A_HUMAN,2.3.4
BCL6B_HUMAN.H11MO.0.D,BCL6B_HUMAN.H11MO.0.D,BCL6B,BCL6B,11,D,More than 3 adjacent zinc finger factors{2.3.3},255877,BCL6B_HUMAN,2.3.3
BCL6_HUMAN.H11MO.0.A,BCL6_HUMAN.H11MO.0.A,BCL6,BCL6,13,A,More than 3 adjacent zinc finger factors{2.3.3},604,BCL6_HUMAN,2.3.3
BHA15_HUMAN.H11MO.0.B,BHA15_HUMAN.H11MO.0.B,BHLHA15,BHLHA15,11,B,Tal-related factors{1.2.3},168620,BHA15_HUMAN,1.2.3
BHE22_HUMAN.H11MO.0.D,BHE22_HUMAN.H11MO.0.D,BHLHE22,BHLHE22,13,D,Tal-related factors{1.2.3},27319,BHE22_HUMAN,1.2.3
BHE23_HUMAN.H11MO.0.D,BHE23_HUMAN.H11MO.0.D,BHLHE23,BHLHE23,12,D,Tal-related factors{1.2.3},128408,BHE23_HUMAN,1.2.3
BHE40_HUMAN.H11MO.0.A,BHE40_HUMAN.H11MO.0.A,BHLHE40,BHLHE40,10,A,Hairy-related factors{1.2.4},8553,BHE40_HUMAN,1.2.4
BHE41_HUMAN.H11MO.0.D,BHE41_HUMAN.H11MO.0.D,BHLHE41,BHLHE41,20,D,Hairy-related factors{1.2.4},79365,BHE41_HUMAN,1.2.4
BMAL1_HUMAN.H11MO.0.A,BMAL1_HUMAN.H11MO.0.A,ARNTL,ARNTL,11,A,PAS domain factors{1.2.5},406,BMAL1_HUMAN,1.2.5
BPTF_HUMAN.H11MO.0.D,BPTF_HUMAN.H11MO.0.D,BPTF,BPTF,12,D,,2186,BPTF_HUMAN,
BRAC_HUMAN.H11MO.0.A,BRAC_HUMAN.H11MO.0.A,T,T,20,A,Brachyury-related factors{6.5.1},6862,BRAC_HUMAN,6.5.1
BRAC_HUMAN.H11MO.1.B,BRAC_HUMAN.H11MO.1.B,T,T,11,B,Brachyury-related factors{6.5.1},6862,BRAC_HUMAN,6.5.1
BRCA1_HUMAN.H11MO.0.D,BRCA1_HUMAN.H11MO.0.D,BRCA1,BRCA1,9,D,,672,BRCA1_HUMAN,
BSH_HUMAN.H11MO.0.D,BSH_HUMAN.H11MO.0.D,BSX,BSX,14,D,NK-related factors{3.1.2},390259,BSH_HUMAN,3.1.2
CDC5L_HUMAN.H11MO.0.D,CDC5L_HUMAN.H11MO.0.D,CDC5L,CDC5L,15,D,Myb/SANT domain factors{3.5.1},988,CDC5L_HUMAN,3.5.1
CDX1_HUMAN.H11MO.0.C,CDX1_HUMAN.H11MO.0.C,CDX1,CDX1,8,C,HOX-related factors{3.1.1},1044,CDX1_HUMAN,3.1.1
CDX2_HUMAN.H11MO.0.A,CDX2_HUMAN.H11MO.0.A,CDX2,CDX2,12,A,HOX-related factors{3.1.1},1045,CDX2_HUMAN,3.1.1
CEBPA_HUMAN.H11MO.0.A,CEBPA_HUMAN.H11MO.0.A,CEBPA,CEBPA,12,A,C/EBP-related{1.1.8},1050,CEBPA_HUMAN,1.1.8
CEBPB_HUMAN.H11MO.0.A,CEBPB_HUMAN.H11MO.0.A,CEBPB,CEBPB,12,A,C/EBP-related{1.1.8},1051,CEBPB_HUMAN,1.1.8
CEBPD_HUMAN.H11MO.0.C,CEBPD_HUMAN.H11MO.0.C,CEBPD,CEBPD,11,C,C/EBP-related{1.1.8},1052,CEBPD_HUMAN,1.1.8
CEBPE_HUMAN.H11MO.0.A,CEBPE_HUMAN.H11MO.0.A,CEBPE,CEBPE,12,A,C/EBP-related{1.1.8},1053,CEBPE_HUMAN,1.1.8
CEBPG_HUMAN.H11MO.0.B,CEBPG_HUMAN.H11MO.0.B,CEBPG,CEBPG,12,B,C/EBP-related{1.1.8},1054,CEBPG_HUMAN,1.1.8
CEBPZ_HUMAN.H11MO.0.D,CEBPZ_HUMAN.H11MO.0.D,CEBPZ,CEBPZ,11,D,,10153,CEBPZ_HUMAN,
CENPB_HUMAN.H11MO.0.D,CENPB_HUMAN.H11MO.0.D,CENPB,CENPB,17,D,,1059,CENPB_HUMAN,
CLOCK_HUMAN.H11MO.0.C,CLOCK_HUMAN.H11MO.0.C,CLOCK,CLOCK,14,C,PAS domain factors{1.2.5},9575,CLOCK_HUMAN,1.2.5
COE1_HUMAN.H11MO.0.A,COE1_HUMAN.H11MO.0.A,EBF1,EBF1,15,A,Early B-Cell Factor-related factors{6.1.5},1879,COE1_HUMAN,6.1.5
COT1_HUMAN.H11MO.0.C,COT1_HUMAN.H11MO.0.C,NR2F1,NR2F1,17,C,RXR-related receptors (NR2){2.1.3},7025,COT1_HUMAN,2.1.3
COT1_HUMAN.H11MO.1.C,COT1_HUMAN.H11MO.1.C,NR2F1,NR2F1,13,C,RXR-related receptors (NR2){2.1.3},7025,COT1_HUMAN,2.1.3
COT2_HUMAN.H11MO.0.A,COT2_HUMAN.H11MO.0.A,NR2F2,NR2F2,13,A,RXR-related receptors (NR2){2.1.3},7026,COT2_HUMAN,2.1.3
COT2_HUMAN.H11MO.1.A,COT2_HUMAN.H11MO.1.A,NR2F2,NR2F2,17,A,RXR-related receptors (NR2){2.1.3},7026,COT2_HUMAN,2.1.3
CPEB1_HUMAN.H11MO.0.D,CPEB1_HUMAN.H11MO.0.D,CPEB1,CPEB1,17,D,,64506,CPEB1_HUMAN,
CR3L1_HUMAN.H11MO.0.D,CR3L1_HUMAN.H11MO.0.D,CREB3L1,CREB3L1,11,D,CREB-related factors{1.1.7},90993,CR3L1_HUMAN,1.1.7
CR3L2_HUMAN.H11MO.0.D,CR3L2_HUMAN.H11MO.0.D,CREB3L2,CREB3L2,13,D,CREB-related factors{1.1.7},64764,CR3L2_HUMAN,1.1.7
CREB1_HUMAN.H11MO.0.A,CREB1_HUMAN.H11MO.0.A,CREB1,CREB1,11,A,CREB-related factors{1.1.7},1385,CREB1_HUMAN,1.1.7
CREB3_HUMAN.H11MO.0.D,CREB3_HUMAN.H11MO.0.D,CREB3,CREB3,13,D,CREB-related factors{1.1.7},10488,CREB3_HUMAN,1.1.7
CREB5_HUMAN.H11MO.0.D,CREB5_HUMAN.H11MO.0.D,CREB5,CREB5,11,D,Jun-related factors{1.1.1},9586,CREB5_HUMAN,1.1.1
CREM_HUMAN.H11MO.0.C,CREM_HUMAN.H11MO.0.C,CREM,CREM,11,C,CREB-related factors{1.1.7},1390,CREM_HUMAN,1.1.7
CRX_HUMAN.H11MO.0.B,CRX_HUMAN.H11MO.0.B,CRX,CRX,13,B,Paired-related HD factors{3.1.3},1406,CRX_HUMAN,3.1.3
CTCFL_HUMAN.H11MO.0.A,CTCFL_HUMAN.H11MO.0.A,CTCFL,CTCFL,17,A,More than 3 adjacent zinc finger factors{2.3.3},140690,CTCFL_HUMAN,2.3.3
CTCF_HUMAN.H11MO.0.A,CTCF_HUMAN.H11MO.0.A,CTCF,CTCF,19,A,More than 3 adjacent zinc finger factors{2.3.3},10664,CTCF_HUMAN,2.3.3
CUX1_HUMAN.H11MO.0.C,CUX1_HUMAN.H11MO.0.C,CUX1,CUX1,14,C,HD-CUT factors{3.1.9},1523,CUX1_HUMAN,3.1.9
CUX2_HUMAN.H11MO.0.D,CUX2_HUMAN.H11MO.0.D,CUX2,CUX2,11,D,HD-CUT factors{3.1.9},23316,CUX2_HUMAN,3.1.9
CXXC1_HUMAN.H11MO.0.D,CXXC1_HUMAN.H11MO.0.D,CXXC1,CXXC1,7,D,CpG-binding proteins{2.6.1},30827,CXXC1_HUMAN,2.6.1
DBP_HUMAN.H11MO.0.B,DBP_HUMAN.H11MO.0.B,DBP,DBP,11,B,C/EBP-related{1.1.8},1628,DBP_HUMAN,1.1.8
DDIT3_HUMAN.H11MO.0.D,DDIT3_HUMAN.H11MO.0.D,DDIT3,DDIT3,10,D,C/EBP-related{1.1.8},1649,DDIT3_HUMAN,1.1.8
DLX1_HUMAN.H11MO.0.D,DLX1_HUMAN.H11MO.0.D,DLX1,DLX1,16,D,NK-related factors{3.1.2},1745,DLX1_HUMAN,3.1.2
DLX2_HUMAN.H11MO.0.D,DLX2_HUMAN.H11MO.0.D,DLX2,DLX2,8,D,NK-related factors{3.1.2},1746,DLX2_HUMAN,3.1.2
DLX3_HUMAN.H11MO.0.C,DLX3_HUMAN.H11MO.0.C,DLX3,DLX3,10,C,NK-related factors{3.1.2},1747,DLX3_HUMAN,3.1.2
DLX4_HUMAN.H11MO.0.D,DLX4_HUMAN.H11MO.0.D,DLX4,DLX4,16,D,NK-related factors{3.1.2},1748,DLX4_HUMAN,3.1.2
DLX5_HUMAN.H11MO.0.D,DLX5_HUMAN.H11MO.0.D,DLX5,DLX5,11,D,NK-related factors{3.1.2},1749,DLX5_HUMAN,3.1.2
DLX6_HUMAN.H11MO.0.D,DLX6_HUMAN.H11MO.0.D,DLX6,DLX6,15,D,NK-related factors{3.1.2},1750,DLX6_HUMAN,3.1.2
DMBX1_HUMAN.H11MO.0.D,DMBX1_HUMAN.H11MO.0.D,DMBX1,DMBX1,20,D,Paired-related HD factors{3.1.3},127343,DMBX1_HUMAN,3.1.3
DMRT1_HUMAN.H11MO.0.D,DMRT1_HUMAN.H11MO.0.D,DMRT1,DMRT1,17,D,DMRT{2.5.1},1761,DMRT1_HUMAN,2.5.1
DPRX_HUMAN.H11MO.0.D,DPRX_HUMAN.H11MO.0.D,DPRX,DPRX,11,D,Paired-related HD factors{3.1.3},503834,DPRX_HUMAN,3.1.3
DRGX_HUMAN.H11MO.0.D,DRGX_HUMAN.H11MO.0.D,DRGX,DRGX,11,D,Paired-related HD factors{3.1.3},644168,DRGX_HUMAN,3.1.3
DUX4_HUMAN.H11MO.0.A,DUX4_HUMAN.H11MO.0.A,DUX4,DUX4,11,A,Paired-related HD factors{3.1.3},100288687,DUX4_HUMAN,3.1.3
DUXA_HUMAN.H11MO.0.D,DUXA_HUMAN.H11MO.0.D,DUXA,DUXA,11,D,Paired-related HD factors{3.1.3},503835,DUXA_HUMAN,3.1.3
E2F1_HUMAN.H11MO.0.A,E2F1_HUMAN.H11MO.0.A,E2F1,E2F1,14,A,E2F-related factors{3.3.2},1869,E2F1_HUMAN,3.3.2
E2F2_HUMAN.H11MO.0.B,E2F2_HUMAN.H11MO.0.B,E2F2,E2F2,10,B,E2F-related factors{3.3.2},1870,E2F2_HUMAN,3.3.2
E2F3_HUMAN.H11MO.0.A,E2F3_HUMAN.H11MO.0.A,E2F3,E2F3,11,A,E2F-related factors{3.3.2},1871,E2F3_HUMAN,3.3.2
E2F4_HUMAN.H11MO.0.A,E2F4_HUMAN.H11MO.0.A,E2F4,E2F4,13,A,E2F-related factors{3.3.2},1874,E2F4_HUMAN,3.3.2
E2F4_HUMAN.H11MO.1.A,E2F4_HUMAN.H11MO.1.A,E2F4,E2F4,14,A,E2F-related factors{3.3.2},1874,E2F4_HUMAN,3.3.2
E2F5_HUMAN.H11MO.0.B,E2F5_HUMAN.H11MO.0.B,E2F5,E2F5,10,B,E2F-related factors{3.3.2},1875,E2F5_HUMAN,3.3.2
E2F6_HUMAN.H11MO.0.A,E2F6_HUMAN.H11MO.0.A,E2F6,E2F6,13,A,E2F-related factors{3.3.2},1876,E2F6_HUMAN,3.3.2
E2F7_HUMAN.H11MO.0.B,E2F7_HUMAN.H11MO.0.B,E2F7,E2F7,13,B,E2F-related factors{3.3.2},144455,E2F7_HUMAN,3.3.2
E2F8_HUMAN.H11MO.0.D,E2F8_HUMAN.H11MO.0.D,E2F8,E2F8,12,D,E2F-related factors{3.3.2},79733,E2F8_HUMAN,3.3.2
E4F1_HUMAN.H11MO.0.D,E4F1_HUMAN.H11MO.0.D,E4F1,E4F1,9,D,Factors with multiple dispersed zinc fingers{2.3.4},1877,E4F1_HUMAN,2.3.4
EGR1_HUMAN.H11MO.0.A,EGR1_HUMAN.H11MO.0.A,EGR1,EGR1,17,A,Three-zinc finger Krueppel-related factors{2.3.1},1958,EGR1_HUMAN,2.3.1
EGR2_HUMAN.H11MO.0.A,EGR2_HUMAN.H11MO.0.A,EGR2,EGR2,18,A,Three-zinc finger Krueppel-related factors{2.3.1},1959,EGR2_HUMAN,2.3.1
EGR2_HUMAN.H11MO.1.A,EGR2_HUMAN.H11MO.1.A,EGR2,EGR2,16,A,Three-zinc finger Krueppel-related factors{2.3.1},1959,EGR2_HUMAN,2.3.1
EGR3_HUMAN.H11MO.0.D,EGR3_HUMAN.H11MO.0.D,EGR3,EGR3,11,D,Three-zinc finger Krueppel-related factors{2.3.1},1960,EGR3_HUMAN,2.3.1
EGR4_HUMAN.H11MO.0.D,EGR4_HUMAN.H11MO.0.D,EGR4,EGR4,11,D,Three-zinc finger Krueppel-related factors{2.3.1},1961,EGR4_HUMAN,2.3.1
EHF_HUMAN.H11MO.0.B,EHF_HUMAN.H11MO.0.B,EHF,EHF,15,B,Ets-related factors{3.5.2},26298,EHF_HUMAN,3.5.2
ELF1_HUMAN.H11MO.0.A,ELF1_HUMAN.H11MO.0.A,ELF1,ELF1,14,A,Ets-related factors{3.5.2},1997,ELF1_HUMAN,3.5.2
ELF2_HUMAN.H11MO.0.C,ELF2_HUMAN.H11MO.0.C,ELF2,ELF2,13,C,Ets-related factors{3.5.2},1998,ELF2_HUMAN,3.5.2
ELF3_HUMAN.H11MO.0.A,ELF3_HUMAN.H11MO.0.A,ELF3,ELF3,14,A,Ets-related factors{3.5.2},1999,ELF3_HUMAN,3.5.2
ELF5_HUMAN.H11MO.0.A,ELF5_HUMAN.H11MO.0.A,ELF5,ELF5,15,A,Ets-related factors{3.5.2},2001,ELF5_HUMAN,3.5.2
ELK1_HUMAN.H11MO.0.B,ELK1_HUMAN.H11MO.0.B,ELK1,ELK1,11,B,Ets-related factors{3.5.2},2002,ELK1_HUMAN,3.5.2
ELK3_HUMAN.H11MO.0.D,ELK3_HUMAN.H11MO.0.D,ELK3,ELK3,12,D,Ets-related factors{3.5.2},2004,ELK3_HUMAN,3.5.2
ELK4_HUMAN.H11MO.0.A,ELK4_HUMAN.H11MO.0.A,ELK4,ELK4,12,A,Ets-related factors{3.5.2},2005,ELK4_HUMAN,3.5.2
EMX1_HUMAN.H11MO.0.D,EMX1_HUMAN.H11MO.0.D,EMX1,EMX1,12,D,NK-related factors{3.1.2},2016,EMX1_HUMAN,3.1.2
EMX2_HUMAN.H11MO.0.D,EMX2_HUMAN.H11MO.0.D,EMX2,EMX2,12,D,NK-related factors{3.1.2},2018,EMX2_HUMAN,3.1.2
EOMES_HUMAN.H11MO.0.D,EOMES_HUMAN.H11MO.0.D,EOMES,EOMES,12,D,TBrain-related factors{6.5.2},8320,EOMES_HUMAN,6.5.2
EPAS1_HUMAN.H11MO.0.B,EPAS1_HUMAN.H11MO.0.B,EPAS1,EPAS1,9,B,PAS domain factors{1.2.5},2034,EPAS1_HUMAN,1.2.5
ERG_HUMAN.H11MO.0.A,ERG_HUMAN.H11MO.0.A,ERG,ERG,13,A,Ets-related factors{3.5.2},2078,ERG_HUMAN,3.5.2
ERR1_HUMAN.H11MO.0.A,ERR1_HUMAN.H11MO.0.A,ESRRA,ESRRA,15,A,Steroid hormone receptors (NR3){2.1.1},2101,ERR1_HUMAN,2.1.1
ERR2_HUMAN.H11MO.0.A,ERR2_HUMAN.H11MO.0.A,ESRRB,ESRRB,9,A,Steroid hormone receptors (NR3){2.1.1},2103,ERR2_HUMAN,2.1.1
ERR3_HUMAN.H11MO.0.B,ERR3_HUMAN.H11MO.0.B,ESRRG,ESRRG,9,B,Steroid hormone receptors (NR3){2.1.1},2104,ERR3_HUMAN,2.1.1
ESR1_HUMAN.H11MO.0.A,ESR1_HUMAN.H11MO.0.A,ESR1,ESR1,15,A,Steroid hormone receptors (NR3){2.1.1},2099,ESR1_HUMAN,2.1.1
ESR1_HUMAN.H11MO.1.A,ESR1_HUMAN.H11MO.1.A,ESR1,ESR1,10,A,Steroid hormone receptors (NR3){2.1.1},2099,ESR1_HUMAN,2.1.1
ESR2_HUMAN.H11MO.0.A,ESR2_HUMAN.H11MO.0.A,ESR2,ESR2,15,A,Steroid hormone receptors (NR3){2.1.1},2100,ESR2_HUMAN,2.1.1
ESR2_HUMAN.H11MO.1.A,ESR2_HUMAN.H11MO.1.A,ESR2,ESR2,7,A,Steroid hormone receptors (NR3){2.1.1},2100,ESR2_HUMAN,2.1.1
ESX1_HUMAN.H11MO.0.D,ESX1_HUMAN.H11MO.0.D,ESX1,ESX1,17,D,Paired-related HD factors{3.1.3},80712,ESX1_HUMAN,3.1.3
ETS1_HUMAN.H11MO.0.A,ETS1_HUMAN.H11MO.0.A,ETS1,ETS1,13,A,Ets-related factors{3.5.2},2113,ETS1_HUMAN,3.5.2
ETS2_HUMAN.H11MO.0.B,ETS2_HUMAN.H11MO.0.B,ETS2,ETS2,13,B,Ets-related factors{3.5.2},2114,ETS2_HUMAN,3.5.2
ETV1_HUMAN.H11MO.0.A,ETV1_HUMAN.H11MO.0.A,ETV1,ETV1,11,A,Ets-related factors{3.5.2},2115,ETV1_HUMAN,3.5.2
ETV2_HUMAN.H11MO.0.B,ETV2_HUMAN.H11MO.0.B,ETV2,ETV2,16,B,Ets-related factors{3.5.2},2116,ETV2_HUMAN,3.5.2
ETV3_HUMAN.H11MO.0.D,ETV3_HUMAN.H11MO.0.D,ETV3,ETV3,14,D,Ets-related factors{3.5.2},2117,ETV3_HUMAN,3.5.2
ETV4_HUMAN.H11MO.0.B,ETV4_HUMAN.H11MO.0.B,ETV4,ETV4,11,B,Ets-related factors{3.5.2},2118,ETV4_HUMAN,3.5.2
ETV5_HUMAN.H11MO.0.C,ETV5_HUMAN.H11MO.0.C,ETV5,ETV5,14,C,Ets-related factors{3.5.2},2119,ETV5_HUMAN,3.5.2
ETV6_HUMAN.H11MO.0.D,ETV6_HUMAN.H11MO.0.D,ETV6,ETV6,9,D,Ets-related factors{3.5.2},2120,ETV6_HUMAN,3.5.2
ETV7_HUMAN.H11MO.0.D,ETV7_HUMAN.H11MO.0.D,ETV7,ETV7,7,D,Ets-related factors{3.5.2},51513,ETV7_HUMAN,3.5.2
EVI1_HUMAN.H11MO.0.B,EVI1_HUMAN.H11MO.0.B,MECOM,MECOM,16,B,Factors with multiple dispersed zinc fingers{2.3.4},2122,EVI1_HUMAN,2.3.4
FEV_HUMAN.H11MO.0.B,FEV_HUMAN.H11MO.0.B,FEV,FEV,10,B,Ets-related factors{3.5.2},54738,FEV_HUMAN,3.5.2
FEZF1_HUMAN.H11MO.0.C,FEZF1_HUMAN.H11MO.0.C,FEZF1,FEZF1,12,C,More than 3 adjacent zinc finger factors{2.3.3},389549,FEZF1_HUMAN,2.3.3
FIGLA_HUMAN.H11MO.0.D,FIGLA_HUMAN.H11MO.0.D,FIGLA,FIGLA,11,D,Tal-related factors{1.2.3},344018,FIGLA_HUMAN,1.2.3
FLI1_HUMAN.H11MO.0.A,FLI1_HUMAN.H11MO.0.A,FLI1,FLI1,18,A,Ets-related factors{3.5.2},2313,FLI1_HUMAN,3.5.2
FLI1_HUMAN.H11MO.1.A,FLI1_HUMAN.H11MO.1.A,FLI1,FLI1,13,A,Ets-related factors{3.5.2},2313,FLI1_HUMAN,3.5.2
FOSB_HUMAN.H11MO.0.A,FOSB_HUMAN.H11MO.0.A,FOSB,FOSB,9,A,Fos-related factors{1.1.2},2354,FOSB_HUMAN,1.1.2
FOSL1_HUMAN.H11MO.0.A,FOSL1_HUMAN.H11MO.0.A,FOSL1,FOSL1,12,A,Fos-related factors{1.1.2},8061,FOSL1_HUMAN,1.1.2
FOSL2_HUMAN.H11MO.0.A,FOSL2_HUMAN.H11MO.0.A,FOSL2,FOSL2,12,A,Fos-related factors{1.1.2},2355,FOSL2_HUMAN,1.1.2
FOS_HUMAN.H11MO.0.A,FOS_HUMAN.H11MO.0.A,FOS,FOS,9,A,Fos-related factors{1.1.2},2353,FOS_HUMAN,1.1.2
FOXA1_HUMAN.H11MO.0.A,FOXA1_HUMAN.H11MO.0.A,FOXA1,FOXA1,12,A,Forkhead box (FOX) factors{3.3.1},3169,FOXA1_HUMAN,3.3.1
FOXA2_HUMAN.H11MO.0.A,FOXA2_HUMAN.H11MO.0.A,FOXA2,FOXA2,12,A,Forkhead box (FOX) factors{3.3.1},3170,FOXA2_HUMAN,3.3.1
FOXA3_HUMAN.H11MO.0.B,FOXA3_HUMAN.H11MO.0.B,FOXA3,FOXA3,13,B,Forkhead box (FOX) factors{3.3.1},3171,FOXA3_HUMAN,3.3.1
FOXB1_HUMAN.H11MO.0.D,FOXB1_HUMAN.H11MO.0.D,FOXB1,FOXB1,17,D,Forkhead box (FOX) factors{3.3.1},27023,FOXB1_HUMAN,3.3.1
FOXC1_HUMAN.H11MO.0.C,FOXC1_HUMAN.H11MO.0.C,FOXC1,FOXC1,15,C,Forkhead box (FOX) factors{3.3.1},2296,FOXC1_HUMAN,3.3.1
